alloca : 1
call : 1713419
bitcast : 1
br : 16662319
shl : 7979041
add : 22413620
getelementptr : 8108315
store : 926985
or : 98304
icmp : 20720153
srem : 18963
sdiv : 9481
sext : 9481
trunc : 2495225
load : 7967761
icmp -> br -> add -> icmp -> br : 2367749
br -> add -> icmp -> br -> br : 517
add -> icmp -> br -> br -> shl : 517
icmp -> br -> br -> shl -> add : 511
br -> add -> icmp -> br -> call : 7
add -> icmp -> br -> call -> srem : 9481
icmp -> br -> call -> srem -> icmp : 1
br -> call -> srem -> icmp -> br : 1
call -> srem -> icmp -> br -> call : 1
srem -> icmp -> br -> call -> srem : 1
icmp -> br -> call -> srem -> sdiv : 9481
br -> call -> srem -> sdiv -> srem : 9481
call -> srem -> sdiv -> srem -> shl : 9481
srem -> sdiv -> srem -> shl -> add : 9481
sdiv -> srem -> shl -> add -> sext : 9481
srem -> shl -> add -> sext -> getelementptr : 9481
shl -> add -> sext -> getelementptr -> store : 9481
add -> sext -> getelementptr -> store -> add : 9481
sext -> getelementptr -> store -> add -> icmp : 9481
store -> add -> icmp -> br -> call : 9480
store -> add -> icmp -> br -> getelementptr : 1
add -> icmp -> br -> getelementptr -> br : 1
icmp -> br -> getelementptr -> br -> br : 1
br -> getelementptr -> br -> br -> shl : 1
getelementptr -> br -> br -> shl -> trunc : 1
br -> br -> shl -> trunc -> br : 7
br -> shl -> trunc -> br -> add : 1792
shl -> trunc -> br -> add -> getelementptr : 1792
trunc -> br -> add -> getelementptr -> load : 1792
br -> add -> getelementptr -> load -> icmp : 917497
add -> getelementptr -> load -> icmp -> trunc : 917497
getelementptr -> load -> icmp -> trunc -> select : 917497
load -> icmp -> trunc -> select -> call : 917497
icmp -> trunc -> select -> call -> add : 917497
trunc -> select -> call -> add -> icmp : 917497
select -> call -> add -> icmp -> br : 917497
call -> add -> icmp -> br -> add : 1702393
add -> icmp -> br -> add -> getelementptr : 915705
icmp -> br -> add -> getelementptr -> load : 915705
br -> add -> icmp -> br -> shl : 4695825
add -> icmp -> br -> shl -> trunc : 1785
icmp -> br -> shl -> trunc -> br : 1785
add -> icmp -> br -> call -> br : 6
icmp -> br -> call -> br -> trunc : 6
br -> call -> br -> trunc -> br : 6
call -> br -> trunc -> br -> trunc : 6
br -> trunc -> br -> trunc -> call : 3072
trunc -> br -> trunc -> call -> add : 3072
br -> trunc -> call -> add -> icmp : 786432
trunc -> call -> add -> icmp -> br : 786432
call -> add -> icmp -> br -> icmp : 1536
add -> icmp -> br -> icmp -> br : 10734
icmp -> br -> icmp -> br -> add : 4602
br -> icmp -> br -> add -> icmp : 786432
br -> add -> icmp -> br -> add : 791046
icmp -> br -> shl -> add -> zext : 6263832
br -> shl -> add -> zext -> getelementptr : 6263832
shl -> add -> zext -> getelementptr -> load : 6263832
